ICCID,SIM type,SIM status,Assigned to,SIM order,SIM tag,Country,Line ID,eSIM Activation Code
8910650420001503346F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409053801001503346
8910650420001503353F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409053450001503353
8910650420001503361F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409051724001503361
8910650420001503379F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409055124001503379
8910650420001503387F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409054797001503387
8910650420001503395F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409056091001503395
8910650420001503403F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409055734001503403
8910650420001503411F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409055159001503411
8910650420001503429F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409053972001503429
8910650420001503437F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409055292001503437
8910650420001503445F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409054055001503445
8910650420001503452F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409055147001503452
8910650420001503460F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409059320001503460
8910650420001503478F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409052037001503478
8910650420001503486F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409050660001503486
8910650420001503494F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409059460001503494
8910650420001503502F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409055574001503502
8910650420001503510F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409050463001503510
8910650420001503528F,EMBEDDED,COLD,dot.,,,US,,LPA:1$consumer.e-sim.global$OX202409051729001503528
